feature,num_missing,num_infinite,num_unique,is_constant,mean,std,min,max
mean_I,0,0,23995,False,-0.009671431966125965,2.187662124633789,-23.27509307861328,26.465673446655273
std_I,0,0,23879,False,0.6651110053062439,0.18001367151737213,0.005271084140986204,1.2582488059997559
min_I,0,0,23972,False,-1.3915743827819824,2.219329833984375,-25.749221801757812,24.61307716369629
max_I,0,0,23961,False,1.3736050128936768,2.220662832260132,-20.400421142578125,28.45976448059082
median_I,0,0,23995,False,-0.009874551557004452,2.1895899772644043,-23.27543067932129,26.608673095703125
range_I,0,0,23953,False,2.765179395675659,0.8001699447631836,0.02741594985127449,5.884624004364014
q25_I,0,0,23974,False,-0.5631134510040283,2.1963188648223877,-23.855545043945312,26.221281051635742
q75_I,0,0,23976,False,0.5437334775924683,2.194166898727417,-22.744829177856445,26.827707290649414
iqr_I,0,0,23953,False,1.1068469285964966,0.3547512888908386,0.007231702096760273,2.682431221008301
skew_I,0,0,23997,False,0.002321296444614139,0.22700808899484717,-4.494058132171631,2.727654218673706
kurtosis_I,0,0,23935,False,-0.9216859177798032,0.7760856132917539,-1.7292423248291016,43.29877853393555
mean_Q,0,0,23999,False,-0.021392976865172386,2.2500200271606445,-27.6278018951416,40.13493347167969
std_Q,0,0,23896,False,0.6653220653533936,0.1794593781232834,0.0007549141882918775,1.3400542736053467
min_Q,0,0,23953,False,-1.4062620401382446,2.279052257537842,-29.066194534301758,37.35676193237305
max_Q,0,0,23960,False,1.3599095344543457,2.282644510269165,-26.270273208618164,41.837890625
median_Q,0,0,23998,False,-0.021031346172094345,2.251239061355591,-27.647705078125,39.85279846191406
range_Q,0,0,23939,False,2.766171932220459,0.8010856509208679,0.005356929264962673,5.380791664123535
q25_Q,0,0,23979,False,-0.5746486186981201,2.2566628456115723,-27.72939109802246,39.602535247802734
q75_Q,0,0,23972,False,0.5320505499839783,2.257577896118164,-27.531463623046875,40.74575424194336
iqr_Q,0,0,23947,False,1.1066991090774536,0.35363683104515076,0.0010025645606219769,2.5479860305786133
skew_Q,0,0,23992,False,-0.0024824799325021255,0.2206109145032953,-4.5593695640563965,2.6373701095581055
kurtosis_Q,0,0,23929,False,-0.9281006571898858,0.6880245136552525,-1.712455153465271,50.4688606262207
mean_abs_I,0,0,23900,False,1.0951082706451416,1.9705930948257446,0.004961533471941948,26.465673446655273
mean_abs_Q,0,0,23917,False,1.1017123460769653,2.0359575748443604,0.0006002893205732107,40.13493347167969
std_ratio_I_Q,0,0,23933,False,1.475377082824707,9.02981948852539,0.005399114452302456,1310.813232421875
mean_abs_ratio_I_Q,0,0,23946,False,1.684003472328186,10.637547492980957,0.0032925494015216827,1469.367919921875
corr_I_Q,0,0,24000,False,-0.003725919370741561,0.5154003886197248,-0.9999990855609953,0.9999991768402231
mean_magnitude,0,0,23842,False,1.7276387214660645,2.753185987472534,0.8036662936210632,42.24260711669922
std_magnitude,0,0,23972,False,0.42269670963287354,0.23475047945976257,0.0027865751180797815,1.3407788276672363
